,rating,title,credit,box,year,actor
345,25,The Flight of the Intruder,Boxman,14.6,1991,Tom Sizemore
346,65,Guilty by Suspicion,Ray Karlin,,1991,Tom Sizemore
347,71,Blue Steel,Wool Cap,,1990,Tom Sizemore
348,88,Born on the Fourth of July,Vet - Villa Dulce,,1989,Tom Sizemore
349,25,Penn & Teller Get Killed,Mugger,,1989,Tom Sizemore
350,19,Rude Awakening,Ian,,1989,Tom Sizemore
351,17,Lock Up,Dallas,,1989,Tom Sizemore
352,,Ad Astra,Clifford McBride,,2019,Tommy Lee Jones
353,29,Shock and Awe,Joe Galloway,,2018,Tommy Lee Jones
354,59,Always at the Carlyle,Actor,,2018,Tommy Lee Jones
355,5,Just Getting Started,Leo,,2017,Tommy Lee Jones
356,33,Mechanic: Resurrection,Max Adams,21.3,2016,Tommy Lee Jones
357,54,Jason Bourne,CIA Director Robert Dewey,162.2,2016,Tommy Lee Jones
358,30,Criminal,Dr. Franks,,2016,Tommy Lee Jones
359,,Mechanic: Ressurection,Max Adams,,2016,Tommy Lee Jones
360,81,The Homesman,"Screenwriter
                                                
                                    
                                            Executive Producer
                                                
                                    
                                            Director
                                                
                                    
                                            George Briggs",,2014,Tommy Lee Jones
361,29,The Family,Robert Stansfield,34.6,2013,Tommy Lee Jones
362,33,Emperor,General Douglas MacArthur,3.4,2013,Tommy Lee Jones
363,89,Lincoln,Thaddeus Stevens,129.5,2012,Tommy Lee Jones
364,75,Hope Springs,Arnold,63.4,2012,Tommy Lee Jones
365,67,Men in Black III,Agent K,179.1,2012,Tommy Lee Jones
366,79,Captain America: The First Avenger,Colonel Chester Phillips,176.7,2011,Tommy Lee Jones
367,67,The Company Men,Gene McClary,4.5,2011,Tommy Lee Jones
368,,The Sunset Limited,"Executive Producer
                                                
                                    
                                            White
                                    
                                            Director",,2011,Tommy Lee Jones
369,64,In the Electric Mist,"Det. Dave Robicheaux
                                    
                                            Screenwriter",,2009,Tommy Lee Jones
370,92,Harvard Beats Yale 29-29,Actor,,2008,Tommy Lee Jones
371,93,No Country for Old Men,Ed Tom Bell,74.3,2007,Tommy Lee Jones
372,73,In the Valley of Elah,Hank Deerfield,6.6,2007,Tommy Lee Jones
373,,The Ballad of Esequiel Hernandez,Narrator,,2007,Tommy Lee Jones
374,82,A Prairie Home Companion,Axeman,,2006,Tommy Lee Jones
375,85,The Three Burials of Melquiades Estrada,"Pete Perkins
                                    
                                            Producer
                                                
                                    
                                            Director",0.5,2006,Tommy Lee Jones
376,9,Man of the House,"Executive Producer
                                                
                                    
                                            Roland Sharp",19.2,2005,Tommy Lee Jones
377,58,The Missing,Samuel Lee,26.9,2003,Tommy Lee Jones
378,29,The Hunted,L.T. Bonham,34.2,2003,Tommy Lee Jones
379,39,Men in Black II,Agent K,190.4,2002,Tommy Lee Jones
380,78,Space Cowboys,William `Hawk' Hawkins,,2000,Tommy Lee Jones
381,36,Rules of Engagement,Col. Hayes 'Hodge' Hodges,,2000,Tommy Lee Jones
382,26,Double Jeopardy,Travis Lehman,,1999,Tommy Lee Jones
